,season,league_name,player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
0,2023-2024,Premier-League,Alisson,br BRA,GK,Liverpool,31-152,1992,21.0,21.0,1890.0,21.0,19.0,0.9,73.0,55.0,75.3,13.0,6.0,2.0,7.0,33.3,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,18.9,0.25,0.9,0.04,54.0,159.0,34.0,791.0,100.0,15.3,25.2,103.0,36.9,34.6,234.0,12.0,5.1,26.0,1.24,17.1
1,2023-2024,Premier-League,Alphonse Areola,fr FRA,GK,West Ham,31-004,1993,23.0,23.0,2024.0,22.5,37.0,1.65,130.0,93.0,74.6,9.0,6.0,8.0,4.0,17.4,5.0,4.0,1.0,0.0,20.0,0.0,2.0,1.0,36.9,0.25,0.9,0.04,119.0,324.0,36.7,468.0,102.0,44.9,37.0,176.0,64.8,45.8,357.0,19.0,5.3,3.0,0.13,9.0
2,2023-2024,Premier-League,Daniel Bentley,eng ENG,GK,Wolves,30-233,1993,3.0,2.0,248.0,2.8,3.0,1.09,10.0,7.0,70.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.25,-0.5,-0.2,9.0,34.0,26.5,62.0,7.0,35.5,32.9,25.0,48.0,36.0,39.0,0.0,0.0,1.0,0.36,10.6
3,2023-2024,Premier-League,Martin Dúbravka,sk SVK,GK,Newcastle Utd,35-047,1989,12.0,11.0,995.0,11.1,27.0,2.44,79.0,51.0,69.6,3.0,2.0,6.0,2.0,18.2,4.0,3.0,1.0,0.0,25.0,0.0,1.0,0.0,29.8,0.33,2.8,0.25,30.0,89.0,33.7,251.0,75.0,18.7,26.9,88.0,47.7,36.9,166.0,11.0,6.6,10.0,0.9,11.5
4,2023-2024,Premier-League,Ederson,br BRA,GK,Manchester City,30-198,1993,25.0,25.0,2167.0,24.1,23.0,0.96,69.0,47.0,69.6,17.0,5.0,3.0,8.0,32.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,22.3,0.3,0.3,0.01,98.0,206.0,47.6,881.0,107.0,19.3,27.8,90.0,40.0,38.4,197.0,20.0,10.2,34.0,1.41,17.4
5,2023-2024,Premier-League,Łukasz Fabiański,pl POL,GK,West Ham,38-319,1985,5.0,3.0,316.0,3.5,9.0,2.56,20.0,11.0,60.0,2.0,0.0,1.0,1.0,33.3,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6.9,0.3,-2.1,-0.6,19.0,51.0,37.3,81.0,19.0,45.7,36.0,25.0,56.0,43.6,64.0,5.0,7.8,1.0,0.28,8.3
6,2023-2024,Premier-League,Mark Flekken,nl NED,GK,Brentford,30-263,1993,25.0,25.0,2205.0,24.5,46.0,1.88,126.0,80.0,64.3,7.0,4.0,14.0,4.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,39.3,0.31,-6.7,-0.27,147.0,413.0,35.6,884.0,91.0,35.3,33.8,193.0,52.3,41.4,382.0,23.0,6.0,21.0,0.86,13.0
7,2023-2024,Premier-League,Wes Foderingham,eng ENG,GK,Sheffield Utd,33-048,1991,25.0,24.0,2199.0,24.4,63.0,2.58,165.0,106.0,63.6,3.0,4.0,17.0,1.0,4.2,4.0,3.0,0.0,1.0,0.0,0.0,8.0,4.0,57.5,0.34,-1.5,-0.06,171.0,518.0,33.0,650.0,83.0,55.1,40.5,214.0,74.8,53.2,404.0,17.0,4.2,34.0,1.39,15.4
8,2023-2024,Premier-League,Ivo Grbić,hr CRO,GK,Sheffield Utd,28-044,1996,2.0,2.0,141.0,1.6,3.0,1.91,4.0,1.0,25.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.51,-1.0,-0.61,11.0,24.0,45.8,38.0,9.0,28.9,28.6,21.0,61.9,47.0,36.0,4.0,11.1,1.0,0.64,8.9
9,2023-2024,Premier-League,Dean Henderson,eng ENG,GK,Crystal Palace,26-356,1997,8.0,8.0,720.0,8.0,20.0,2.5,45.0,25.0,57.8,2.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,17.3,0.37,-2.7,-0.33,36.0,123.0,29.3,190.0,23.0,42.6,36.8,47.0,89.4,58.6,106.0,2.0,1.9,10.0,1.25,17.3
10,2023-2024,Premier-League,Sam Johnstone,eng ENG,GK,Crystal Palace,30-343,1993,18.0,18.0,1616.0,18.0,23.0,1.28,59.0,37.0,64.4,5.0,5.0,8.0,6.0,33.3,2.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,17.0,0.26,-5.0,-0.28,98.0,298.0,32.9,399.0,58.0,52.4,40.1,121.0,73.6,52.0,295.0,23.0,7.8,10.0,0.56,10.7
