,season,league_name,squad,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_goals_against_right,gk_pens_allowed_right,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,goals_right,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made_right,pens_att_right,xg_right,npxg_right,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists_right,xg_assist_right,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes_right,passes_right,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed_right,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,possession_right,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries_right,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_right,cards_red_right,cards_yellow_red,fouls,fouled,offsides,crosses_right,interceptions_right,tackles_won_right,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,players_used_right,avg_age_right,games_right,minutes_right,minutes_per_game,minutes_pct,minutes_90s_right,games_starts_right,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90
0,2023-2024,Premier-League,vs Arsenal,25.0,27.1,39.6,26.0,286.0,2340.0,26.0,22.0,18.0,40.0,21.0,1.0,2.0,61.0,2.0,18.2,16.7,13.4,30.1,337.0,583.0,0.85,0.69,1.54,0.81,1.5,0.7,0.52,1.22,0.64,1.16,26.0,26.0,2340.0,62.0,2.38,147.0,87.0,63.3,4.0,4.0,18.0,3.0,11.5,8.0,8.0,0.0,0.0,0.0,62.0,8.0,0.0,12.0,2.0,48.4,0.28,-11.6,-0.45,147.0,473.0,31.1,822.0,95.0,41.5,36.3,226.0,58.4,42.6,391.0,23.0,5.9,23.0,0.88,12.1,22.0,217.0,59.0,27.2,8.35,2.27,0.1,0.36,18.2,6.0,1.0,2.0,18.2,16.7,0.08,3.8,4.3,8091.0,10458.0,77.4,141817.0,50545.0,3790.0,4292.0,88.3,3328.0,3879.0,85.8,776.0,1707.0,45.5,18.0,13.4,12.8,4.6,160.0,554.0,104.0,20.0,583.0,10458.0,9331.0,1087.0,300.0,32.0,48.0,285.0,403.0,70.0,43.0,22.0,1.0,8091.0,40.0,234.0,361.0,13.88,253.0,26.0,19.0,31.0,14.0,18.0,36.0,1.38,21.0,4.0,4.0,4.0,0.0,3.0,477.0,261.0,279.0,147.0,51.0,213.0,402.0,53.0,189.0,317.0,141.0,176.0,209.0,686.0,636.0,14.0,39.6,13281.0,2112.0,5640.0,5375.0,2419.0,377.0,13279.0,418.0,174.0,41.6,198.0,47.4,7184.0,37554.0,18439.0,337.0,249.0,102.0,317.0,224.0,7995.0,571.0,61.0,2.0,2.0,283.0,234.0,40.0,285.0,209.0,261.0,1.0,8.0,2.0,1086.0,341.0,344.0,49.8,25.0,27.1,26.0,2340.0,90.0,100.0,26.0,286.0,84.0,182.0,103.0,21.0,128.0,0.62,23.0,62.0,-39.0,-1.5,18.2,53.1,-34.8,-1.34
1,2023-2024,Premier-League,vs Aston Villa,28.0,27.1,44.4,26.0,286.0,2340.0,26.0,32.0,27.0,59.0,32.0,0.0,0.0,66.0,4.0,36.6,36.6,31.5,68.1,379.0,780.0,1.23,1.04,2.27,1.23,2.27,1.41,1.21,2.62,1.41,2.62,26.0,26.0,2340.0,56.0,2.15,142.0,89.0,63.4,6.0,4.0,16.0,3.0,11.5,4.0,4.0,0.0,0.0,0.0,56.0,4.0,1.0,5.0,3.0,48.4,0.33,-4.6,-0.18,103.0,261.0,39.5,565.0,113.0,31.9,32.7,171.0,47.4,39.1,337.0,18.0,5.3,44.0,1.69,17.0,32.0,276.0,105.0,38.0,10.62,4.04,0.12,0.3,15.2,4.0,0.0,0.0,36.6,36.6,0.14,-4.6,-4.6,8891.0,11166.0,79.6,152557.0,55780.0,4319.0,4803.0,89.9,3533.0,4113.0,85.9,804.0,1557.0,51.6,27.0,31.5,24.0,-4.5,221.0,609.0,177.0,34.0,780.0,11166.0,10041.0,999.0,289.0,86.0,53.0,357.0,349.0,108.0,49.0,42.0,4.0,8891.0,126.0,221.0,497.0,19.12,342.0,56.0,34.0,39.0,17.0,9.0,58.0,2.23,40.0,7.0,5.0,4.0,0.0,2.0,517.0,300.0,234.0,212.0,71.0,222.0,464.0,47.8,242.0,293.0,110.0,183.0,215.0,732.0,545.0,12.0,44.4,13878.0,1570.0,4740.0,6280.0,2998.0,557.0,13878.0,417.0,193.0,46.3,175.0,42.0,8017.0,41585.0,21477.0,379.0,257.0,139.0,305.0,197.0,8786.0,764.0,66.0,4.0,2.0,333.0,262.0,126.0,357.0,215.0,300.0,0.0,4.0,3.0,1272.0,263.0,237.0,52.6,28.0,27.1,26.0,2340.0,90.0,100.0,26.0,286.0,83.0,175.0,107.0,21.0,125.0,0.85,35.0,56.0,-21.0,-0.81,36.6,48.3,-11.7,-0.45
2,2023-2024,Premier-League,vs Bournemouth,27.0,27.0,55.9,25.0,275.0,2250.0,25.0,46.0,31.0,77.0,42.0,4.0,5.0,56.0,2.0,40.2,36.1,26.4,62.5,491.0,1023.0,1.84,1.24,3.08,1.68,2.92,1.61,1.06,2.66,1.44,2.5,25.0,25.0,2250.0,33.0,1.32,110.0,77.0,70.9,11.0,7.0,7.0,6.0,24.0,1.0,1.0,0.0,0.0,0.0,33.0,1.0,0.0,6.0,0.0,32.4,0.29,-0.6,-0.02,156.0,377.0,41.4,835.0,128.0,33.2,32.3,193.0,51.8,39.8,345.0,22.0,6.4,30.0,1.2,14.0,46.0,356.0,126.0,35.4,14.24,5.04,0.12,0.33,16.6,8.0,4.0,5.0,40.2,36.1,0.1,5.8,5.9,10865.0,13498.0,80.5,184896.0,70085.0,5277.0,5968.0,88.4,4392.0,5100.0,86.1,954.0,1770.0,53.9,31.0,26.4,29.5,4.6,266.0,740.0,235.0,46.0,1023.0,13498.0,12248.0,1224.0,357.0,45.0,55.0,420.0,472.0,144.0,58.0,39.0,4.0,10865.0,26.0,259.0,626.0,25.04,451.0,51.0,40.0,50.0,23.0,11.0,81.0,3.24,58.0,3.0,4.0,7.0,7.0,2.0,543.0,332.0,259.0,211.0,73.0,280.0,536.0,52.2,256.0,318.0,102.0,216.0,174.0,717.0,513.0,10.0,55.9,16540.0,1772.0,5714.0,6858.0,4155.0,721.0,16535.0,525.0,246.0,46.9,220.0,41.9,9300.0,48924.0,24029.0,491.0,312.0,160.0,422.0,255.0,10729.0,1011.0,56.0,2.0,1.0,259.0,320.0,26.0,420.0,174.0,332.0,5.0,1.0,0.0,1312.0,436.0,356.0,55.1,27.0,27.0,25.0,2250.0,90.0,100.0,25.0,275.0,82.0,167.0,106.0,19.0,118.0,1.6,47.0,33.0,14.0,0.56,40.2,35.8,4.4,0.18
3,2023-2024,Premier-League,vs Brentford,28.0,26.9,54.5,26.0,286.0,2340.0,26.0,48.0,38.0,86.0,47.0,1.0,1.0,55.0,4.0,39.3,38.5,31.5,70.0,580.0,1107.0,1.85,1.46,3.31,1.81,3.27,1.51,1.21,2.72,1.48,2.69,26.0,26.0,2340.0,37.0,1.42,109.0,73.0,68.8,15.0,4.0,7.0,5.0,19.2,3.0,3.0,0.0,0.0,0.0,37.0,3.0,2.0,4.0,1.0,34.4,0.29,-1.6,-0.06,141.0,449.0,31.4,689.0,105.0,48.0,39.3,180.0,65.6,45.5,371.0,30.0,8.1,42.0,1.62,17.1,48.0,378.0,133.0,35.2,14.54,5.12,0.12,0.35,17.7,6.0,1.0,1.0,39.3,38.5,0.1,8.7,8.5,11505.0,14271.0,80.6,188357.0,65110.0,5885.0,6560.0,89.7,4319.0,5060.0,85.4,933.0,1831.0,51.0,38.0,31.5,27.8,6.5,289.0,1057.0,288.0,56.0,1107.0,14271.0,13030.0,1205.0,298.0,32.0,68.0,532.0,513.0,152.0,69.0,56.0,4.0,11505.0,36.0,259.0,671.0,25.81,521.0,38.0,46.0,35.0,15.0,16.0,87.0,3.35,65.0,5.0,6.0,6.0,2.0,3.0,364.0,227.0,168.0,123.0,73.0,182.0,349.0,52.1,167.0,296.0,91.0,205.0,208.0,572.0,656.0,10.0,54.5,17343.0,1725.0,4578.0,7151.0,5798.0,703.0,17342.0,526.0,270.0,51.3,224.0,42.6,10235.0,52267.0,26623.0,580.0,516.0,156.0,409.0,253.0,11400.0,1100.0,55.0,4.0,3.0,294.0,253.0,36.0,532.0,208.0,227.0,1.0,3.0,1.0,1305.0,425.0,419.0,50.4,28.0,26.9,26.0,2340.0,90.0,100.0,26.0,286.0,83.0,193.0,90.0,20.0,144.0,1.88,48.0,37.0,11.0,0.42,39.3,41.2,-1.9,-0.07
4,2023-2024,Premier-League,vs Brighton,27.0,27.2,38.0,26.0,286.0,2340.0,26.0,39.0,26.0,65.0,34.0,5.0,5.0,74.0,4.0,36.7,32.7,24.3,57.0,403.0,774.0,1.5,1.0,2.5,1.31,2.31,1.41,0.93,2.34,1.26,2.19,26.0,26.0,2340.0,49.0,1.88,157.0,111.0,72.0,7.0,9.0,10.0,4.0,15.4,5.0,5.0,0.0,0.0,0.0,49.0,5.0,0.0,5.0,3.0,51.6,0.3,5.6,0.21,130.0,477.0,27.3,862.0,109.0,41.3,35.9,186.0,65.1,46.9,340.0,19.0,5.6,19.0,0.73,14.1,39.0,302.0,101.0,33.4,11.62,3.88,0.11,0.34,16.3,8.0,5.0,5.0,36.7,32.7,0.11,2.3,1.3,8543.0,10856.0,78.7,149173.0,53960.0,3934.0,4414.0,89.1,3604.0,4173.0,86.4,793.0,1688.0,47.0,26.0,24.3,21.5,1.7,214.0,609.0,191.0,30.0,774.0,10856.0,9734.0,1073.0,313.0,37.0,44.0,352.0,391.0,108.0,64.0,25.0,8.0,8543.0,49.0,217.0,527.0,20.27,378.0,33.0,48.0,35.0,21.0,12.0,61.0,2.35,40.0,3.0,5.0,6.0,5.0,2.0,475.0,288.0,236.0,183.0,56.0,228.0,428.0,53.3,200.0,291.0,112.0,179.0,257.0,732.0,511.0,11.0,38.0,13649.0,1833.0,5069.0,5526.0,3204.0,610.0,13644.0,499.0,252.0,50.5,187.0,37.5,7597.0,40703.0,19378.0,403.0,269.0,163.0,299.0,235.0,8479.0,768.0,74.0,4.0,3.0,312.0,271.0,49.0,352.0,257.0,288.0,4.0,5.0,3.0,1198.0,239.0,291.0,45.1,27.0,27.2,26.0,2340.0,90.0,100.0,26.0,286.0,79.0,185.0,99.0,19.0,135.0,1.15,41.0,49.0,-8.0,-0.31,36.7,43.7,-7.0,-0.27
5,2023-2024,Premier-League,vs Burnley,30.0,27.0,55.0,26.0,286.0,2340.0,26.0,56.0,41.0,97.0,51.0,5.0,5.0,59.0,2.0,46.2,42.3,33.6,75.9,468.0,1050.0,2.15,1.58,3.73,1.96,3.54,1.78,1.29,3.07,1.63,2.92,26.0,26.0,2340.0,25.0,0.96,82.0,57.0,70.7,19.0,4.0,3.0,10.0,38.5,1.0,1.0,0.0,0.0,0.0,25.0,1.0,0.0,2.0,0.0,21.1,0.25,-3.9,-0.15,130.0,335.0,38.8,802.0,102.0,33.4,32.1,167.0,40.1,33.4,277.0,12.0,4.3,27.0,1.04,17.6,56.0,395.0,154.0,39.0,15.19,5.92,0.13,0.33,15.7,12.0,5.0,5.0,46.2,42.3,0.11,9.8,8.7,11866.0,14649.0,81.0,203654.0,66744.0,5481.0,6189.0,88.6,5107.0,5839.0,87.5,989.0,1892.0,52.3,41.0,33.6,30.3,7.4,304.0,797.0,285.0,63.0,1050.0,14649.0,13393.0,1200.0,321.0,56.0,80.0,479.0,493.0,168.0,101.0,39.0,2.0,11866.0,56.0,240.0,710.0,27.31,523.0,65.0,30.0,44.0,33.0,15.0,96.0,3.69,68.0,6.0,4.0,8.0,6.0,4.0,406.0,264.0,197.0,150.0,59.0,208.0,422.0,49.3,214.0,270.0,63.0,207.0,180.0,586.0,439.0,8.0,55.0,17370.0,1619.0,5301.0,8077.0,4130.0,806.0,17365.0,465.0,206.0,44.3,197.0,42.4,10010.0,50868.0,25126.0,468.0,316.0,171.0,360.0,223.0,11716.0,1038.0,59.0,2.0,1.0,244.0,284.0,56.0,479.0,180.0,264.0,5.0,1.0,0.0,1294.0,505.0,382.0,56.9,30.0,27.0,26.0,2340.0,90.0,100.0,26.0,286.0,82.0,189.0,97.0,18.0,135.0,2.35,58.0,25.0,33.0,1.27,46.2,23.5,22.7,0.87
6,2023-2024,Premier-League,vs Chelsea,30.0,27.0,41.6,25.0,275.0,2250.0,25.0,40.0,26.0,66.0,37.0,3.0,5.0,67.0,3.0,37.7,33.8,26.0,59.8,480.0,883.0,1.6,1.04,2.64,1.48,2.52,1.51,1.04,2.55,1.35,2.39,25.0,25.0,2250.0,42.0,1.68,117.0,75.0,70.1,10.0,5.0,10.0,5.0,20.0,8.0,7.0,1.0,0.0,12.5,42.0,7.0,1.0,5.0,1.0,44.9,0.32,3.9,0.16,108.0,325.0,33.2,764.0,133.0,30.6,31.5,175.0,52.0,39.9,289.0,27.0,9.3,43.0,1.72,16.9,40.0,346.0,126.0,36.4,13.84,5.04,0.11,0.29,17.3,21.0,3.0,5.0,37.7,33.8,0.1,2.3,3.2,8610.0,10900.0,79.0,149578.0,54635.0,4033.0,4565.0,88.3,3545.0,4142.0,85.6,817.0,1598.0,51.1,26.0,26.0,22.1,0.0,255.0,644.0,195.0,50.0,883.0,10900.0,9714.0,1135.0,348.0,34.0,74.0,444.0,416.0,129.0,68.0,30.0,8.0,8610.0,51.0,230.0,601.0,24.04,413.0,52.0,36.0,42.0,38.0,20.0,60.0,2.4,40.0,5.0,3.0,8.0,3.0,1.0,505.0,301.0,256.0,173.0,76.0,250.0,496.0,50.4,246.0,309.0,90.0,219.0,250.0,755.0,482.0,13.0,41.6,13810.0,1696.0,4830.0,5446.0,3683.0,656.0,13805.0,479.0,201.0,42.0,208.0,43.4,7467.0,41912.0,23094.0,480.0,300.0,169.0,328.0,233.0,8530.0,872.0,67.0,3.0,2.0,307.0,304.0,51.0,444.0,250.0,301.0,5.0,8.0,1.0,1205.0,239.0,295.0,44.8,30.0,27.0,25.0,2250.0,90.0,100.0,25.0,275.0,83.0,175.0,97.0,21.0,127.0,1.4,41.0,42.0,-1.0,-0.04,37.7,46.7,-9.0,-0.36
7,2023-2024,Premier-League,vs Crystal Palace,26.0,26.7,57.7,26.0,286.0,2340.0,26.0,43.0,36.0,79.0,40.0,3.0,3.0,55.0,2.0,37.2,34.8,28.4,63.2,462.0,1183.0,1.65,1.38,3.04,1.54,2.92,1.43,1.09,2.52,1.34,2.43,26.0,26.0,2340.0,31.0,1.19,108.0,77.0,75.0,12.0,7.0,7.0,6.0,23.1,4.0,4.0,0.0,0.0,0.0,31.0,4.0,0.0,1.0,0.0,30.7,0.25,-0.3,-0.01,79.0,258.0,30.6,838.0,129.0,25.1,28.5,160.0,30.0,31.1,339.0,21.0,6.2,37.0,1.42,16.0,43.0,324.0,102.0,31.5,12.46,3.92,0.12,0.39,16.1,4.0,3.0,3.0,37.2,34.8,0.11,5.8,5.2,13064.0,15744.0,83.0,221827.0,72612.0,6273.0,6948.0,90.3,5407.0,6131.0,88.2,1065.0,1919.0,55.5,36.0,28.4,25.6,7.6,245.0,1018.0,265.0,66.0,1183.0,15744.0,14498.0,1195.0,333.0,49.0,108.0,516.0,519.0,126.0,67.0,33.0,3.0,13064.0,51.0,247.0,586.0,22.54,432.0,58.0,26.0,35.0,27.0,8.0,80.0,3.08,62.0,6.0,3.0,5.0,4.0,0.0,510.0,298.0,228.0,205.0,77.0,205.0,443.0,46.3,238.0,327.0,97.0,230.0,213.0,723.0,508.0,11.0,57.7,18715.0,1661.0,5654.0,8439.0,4758.0,633.0,18712.0,458.0,188.0,41.0,213.0,46.5,10994.0,58167.0,30060.0,462.0,400.0,113.0,393.0,298.0,12939.0,1168.0,55.0,2.0,1.0,319.0,293.0,51.0,516.0,213.0,298.0,3.0,4.0,0.0,1301.0,396.0,384.0,50.8,26.0,26.7,26.0,2340.0,90.0,100.0,26.0,286.0,85.0,178.0,106.0,18.0,128.0,1.65,44.0,31.0,13.0,0.5,37.2,30.1,7.1,0.27
8,2023-2024,Premier-League,vs Everton,25.0,27.1,60.8,26.0,286.0,2340.0,26.0,32.0,20.0,52.0,27.0,5.0,5.0,41.0,1.0,35.2,31.5,23.6,55.1,546.0,1127.0,1.23,0.77,2.0,1.04,1.81,1.35,0.91,2.26,1.21,2.12,26.0,26.0,2340.0,28.0,1.08,106.0,78.0,73.6,11.0,7.0,8.0,10.0,38.5,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,10.0,0.0,29.4,0.3,1.4,0.05,83.0,251.0,33.1,996.0,173.0,18.3,27.3,211.0,32.7,30.9,412.0,37.0,9.0,37.0,1.42,14.0,32.0,359.0,102.0,28.4,13.81,3.92,0.08,0.26,17.0,9.0,5.0,5.0,35.2,31.5,0.09,-3.2,-4.5,13349.0,16186.0,82.5,227755.0,77216.0,6225.0,6944.0,89.6,5649.0,6421.0,88.0,1120.0,2018.0,55.5,20.0,23.6,22.4,-3.6,275.0,891.0,233.0,53.0,1127.0,16186.0,14764.0,1375.0,359.0,30.0,101.0,470.0,589.0,162.0,53.0,46.0,4.0,13349.0,47.0,244.0,643.0,24.73,468.0,54.0,40.0,47.0,24.0,10.0,54.0,2.08,40.0,2.0,3.0,5.0,4.0,0.0,404.0,234.0,206.0,160.0,38.0,178.0,350.0,50.9,172.0,277.0,85.0,192.0,172.0,576.0,614.0,12.0,60.8,19195.0,2047.0,6860.0,8172.0,4304.0,677.0,19190.0,557.0,253.0,45.4,242.0,43.4,11469.0,59802.0,31215.0,546.0,346.0,163.0,394.0,278.0,13215.0,1115.0,41.0,1.0,0.0,246.0,310.0,47.0,470.0,172.0,234.0,3.0,0.0,0.0,1354.0,392.0,468.0,45.6,25.0,27.1,26.0,2340.0,90.0,100.0,26.0,286.0,85.0,188.0,98.0,21.0,134.0,1.54,34.0,28.0,6.0,0.23,35.2,38.0,-2.8,-0.11
9,2023-2024,Premier-League,vs Fulham,25.0,26.7,49.3,26.0,286.0,2340.0,26.0,39.0,23.0,62.0,33.0,6.0,6.0,42.0,0.0,45.2,40.8,29.9,70.7,450.0,1037.0,1.5,0.88,2.38,1.27,2.15,1.74,1.15,2.89,1.57,2.72,26.0,26.0,2340.0,36.0,1.38,114.0,79.0,70.2,12.0,5.0,9.0,10.0,38.5,2.0,2.0,0.0,0.0,0.0,36.0,2.0,0.0,7.0,1.0,35.8,0.3,0.8,0.03,97.0,288.0,33.7,789.0,135.0,26.4,29.5,189.0,42.3,37.0,396.0,20.0,5.1,36.0,1.38,14.9,39.0,363.0,126.0,34.7,13.96,4.85,0.09,0.26,16.4,12.0,6.0,6.0,45.2,40.8,0.12,-6.2,-7.8,11087.0,13674.0,81.1,188223.0,64969.0,5258.0,5914.0,88.9,4638.0,5307.0,87.4,910.0,1726.0,52.7,23.0,29.9,27.9,-6.9,266.0,811.0,225.0,43.0,1037.0,13674.0,12494.0,1112.0,273.0,56.0,68.0,393.0,461.0,127.0,61.0,41.0,3.0,11087.0,68.0,241.0,642.0,24.69,451.0,56.0,34.0,55.0,33.0,13.0,64.0,2.46,40.0,2.0,10.0,5.0,6.0,1.0,401.0,246.0,162.0,164.0,75.0,169.0,359.0,47.1,190.0,333.0,82.0,251.0,214.0,615.0,555.0,9.0,49.3,16616.0,1710.0,5396.0,7393.0,3971.0,709.0,16610.0,511.0,219.0,42.9,232.0,45.4,9919.0,51666.0,26992.0,450.0,310.0,140.0,373.0,214.0,10956.0,1025.0,42.0,0.0,0.0,272.0,247.0,68.0,393.0,214.0,246.0,6.0,2.0,1.0,1307.0,335.0,339.0,49.7,25.0,26.7,26.0,2340.0,90.0,100.0,26.0,286.0,82.0,182.0,106.0,20.0,128.0,1.58,42.0,36.0,6.0,0.23,45.2,32.6,12.6,0.48
