,season,league_name,squad,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_goals_against_right,gk_pens_allowed_right,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,goals_right,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made_right,pens_att_right,xg_right,npxg_right,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists_right,xg_assist_right,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes_right,passes_right,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed_right,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,possession_right,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries_right,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_right,cards_red_right,cards_yellow_red,fouls,fouled,offsides,crosses_right,interceptions_right,tackles_won_right,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,players_used_right,avg_age_right,games_right,minutes_right,minutes_per_game,minutes_pct,minutes_90s_right,games_starts_right,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90
0,2023-2024,Premier-League,Arsenal,25.0,25.5,61.5,28.0,308.0,2520.0,28.0,67.0,47.0,114.0,59.0,8.0,8.0,43.0,2.0,56.6,50.5,39.4,89.9,628.0,1638.0,2.39,1.68,4.07,2.11,3.79,2.02,1.41,3.43,1.8,3.21,28.0,28.0,2520.0,24.0,0.86,65.0,41.0,64.6,20.0,4.0,4.0,11.0,39.3,2.0,1.0,1.0,0.0,50.0,24.0,1.0,0.0,5.0,1.0,19.2,0.27,-3.8,-0.14,98.0,302.0,32.5,770.0,144.0,33.4,33.3,135.0,33.3,30.8,240.0,37.0,15.4,48.0,1.71,14.6,67.0,470.0,153.0,32.6,16.79,5.46,0.13,0.39,16.0,4.0,8.0,8.0,56.6,50.5,0.11,10.4,8.5,14894.0,17520.0,85.0,243541.0,77737.0,7414.0,8116.0,91.4,6272.0,7019.0,89.4,921.0,1671.0,55.1,47.0,39.4,42.3,7.6,367.0,1233.0,400.0,55.0,1638.0,17520.0,16312.0,1145.0,329.0,80.0,51.0,542.0,415.0,214.0,176.0,1.0,0.0,14894.0,63.0,221.0,861.0,30.75,673.0,65.0,42.0,46.0,25.0,10.0,117.0,4.18,74.0,15.0,8.0,9.0,11.0,0.0,437.0,249.0,183.0,174.0,80.0,205.0,381.0,53.8,176.0,313.0,79.0,234.0,203.0,640.0,347.0,14.0,61.5,20356.0,1370.0,4957.0,8896.0,6634.0,1071.0,20348.0,503.0,208.0,41.4,226.0,44.9,12800.0,62371.0,32056.0,628.0,432.0,232.0,382.0,278.0,14756.0,1624.0,43.0,2.0,1.0,267.0,296.0,63.0,542.0,203.0,249.0,7.0,2.0,1.0,1305.0,375.0,372.0,50.2,25.0,25.5,28.0,2520.0,90.0,100.0,28.0,308.0,83.0,191.0,116.0,17.0,136.0,2.29,70.0,24.0,46.0,1.64,56.6,19.4,37.2,1.33
1,2023-2024,Premier-League,Aston Villa,28.0,27.6,54.7,28.0,308.0,2520.0,28.0,56.0,41.0,97.0,52.0,4.0,4.0,73.0,2.0,51.0,48.0,37.6,85.6,600.0,1142.0,2.0,1.46,3.46,1.86,3.32,1.82,1.34,3.17,1.71,3.06,28.0,28.0,2520.0,41.0,1.46,114.0,76.0,64.0,17.0,4.0,7.0,6.0,21.4,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,10.0,3.0,40.7,0.37,2.7,0.1,100.0,262.0,38.2,991.0,133.0,21.5,27.5,163.0,30.1,29.4,315.0,34.0,10.8,56.0,2.0,18.1,56.0,404.0,147.0,36.4,14.43,5.25,0.13,0.35,16.1,13.0,4.0,4.0,51.0,48.0,0.12,5.0,4.0,12177.0,14590.0,83.5,212575.0,71827.0,5341.0,5939.0,89.9,5587.0,6267.0,89.1,1014.0,1765.0,57.5,41.0,37.6,34.3,3.4,315.0,898.0,280.0,55.0,1142.0,14590.0,13199.0,1357.0,469.0,64.0,75.0,497.0,482.0,174.0,108.0,11.0,2.0,12177.0,34.0,252.0,724.0,25.86,533.0,59.0,38.0,59.0,25.0,10.0,100.0,3.57,70.0,7.0,5.0,9.0,7.0,2.0,407.0,241.0,192.0,164.0,51.0,196.0,404.0,48.5,208.0,288.0,75.0,213.0,186.0,593.0,444.0,8.0,54.7,17373.0,1947.0,5847.0,7501.0,4188.0,797.0,17369.0,572.0,261.0,45.6,232.0,40.6,10967.0,60175.0,31930.0,600.0,378.0,173.0,356.0,316.0,11937.0,1132.0,73.0,2.0,0.0,304.0,349.0,34.0,497.0,186.0,241.0,4.0,0.0,3.0,1233.0,256.0,282.0,47.6,28.0,27.6,28.0,2520.0,90.0,100.0,28.0,308.0,83.0,197.0,112.0,19.0,137.0,1.96,59.0,41.0,18.0,0.64,51.0,39.9,11.1,0.4
2,2023-2024,Premier-League,Bournemouth,28.0,26.4,44.9,28.0,308.0,2520.0,28.0,41.0,30.0,71.0,40.0,1.0,2.0,57.0,2.0,42.6,41.0,30.8,71.8,523.0,1004.0,1.46,1.07,2.54,1.43,2.5,1.52,1.1,2.62,1.46,2.57,28.0,28.0,2520.0,52.0,1.86,149.0,97.0,67.8,9.0,8.0,11.0,6.0,21.4,5.0,4.0,1.0,0.0,20.0,52.0,4.0,1.0,6.0,1.0,49.0,0.3,-2.0,-0.07,141.0,409.0,34.5,719.0,133.0,41.3,36.4,197.0,56.9,44.0,358.0,25.0,7.0,27.0,0.96,13.8,41.0,398.0,132.0,33.2,14.21,4.71,0.1,0.3,16.6,11.0,1.0,2.0,42.6,41.0,0.11,-1.6,-1.0,9017.0,12013.0,75.1,166254.0,61925.0,3777.0,4430.0,85.3,4002.0,4717.0,84.8,1028.0,2170.0,47.4,30.0,30.8,25.7,-0.8,305.0,807.0,269.0,67.0,1004.0,12013.0,10628.0,1337.0,300.0,38.0,66.0,531.0,585.0,175.0,143.0,5.0,4.0,9017.0,48.0,269.0,705.0,25.18,525.0,56.0,49.0,34.0,22.0,19.0,65.0,2.32,46.0,3.0,5.0,5.0,2.0,4.0,525.0,303.0,233.0,210.0,82.0,245.0,510.0,48.0,265.0,370.0,111.0,259.0,252.0,777.0,585.0,10.0,44.9,15534.0,1812.0,5027.0,6440.0,4256.0,778.0,15532.0,647.0,290.0,44.8,301.0,46.5,8323.0,49790.0,25897.0,523.0,384.0,171.0,466.0,294.0,8928.0,992.0,57.0,2.0,0.0,371.0,275.0,48.0,531.0,252.0,303.0,2.0,5.0,1.0,1510.0,434.0,512.0,45.9,28.0,26.4,28.0,2520.0,90.0,100.0,28.0,308.0,81.0,182.0,126.0,21.0,126.0,1.25,41.0,52.0,-11.0,-0.39,42.6,44.8,-2.3,-0.08
3,2023-2024,Premier-League,Brentford,28.0,27.4,44.2,29.0,319.0,2610.0,29.0,40.0,25.0,65.0,37.0,3.0,3.0,69.0,2.0,45.0,42.8,31.6,74.4,352.0,955.0,1.38,0.86,2.24,1.28,2.14,1.55,1.09,2.64,1.48,2.57,29.0,29.0,2610.0,54.0,1.86,150.0,96.0,65.3,7.0,5.0,17.0,4.0,13.8,2.0,2.0,0.0,0.0,0.0,54.0,2.0,0.0,5.0,0.0,45.9,0.3,-8.1,-0.28,202.0,539.0,37.5,1041.0,102.0,38.0,35.8,247.0,57.9,44.5,470.0,27.0,5.7,26.0,0.9,10.0,40.0,358.0,120.0,33.5,12.34,4.14,0.1,0.31,15.1,12.0,3.0,3.0,45.0,42.8,0.12,-5.0,-5.8,9489.0,12717.0,74.6,171470.0,66431.0,4197.0,4969.0,84.5,3996.0,4884.0,81.8,1060.0,2147.0,49.4,25.0,31.6,30.1,-6.6,242.0,716.0,244.0,78.0,955.0,12717.0,11328.0,1335.0,351.0,47.0,90.0,515.0,524.0,130.0,70.0,27.0,4.0,9489.0,54.0,250.0,597.0,20.59,414.0,71.0,20.0,48.0,32.0,12.0,56.0,1.93,37.0,5.0,1.0,7.0,6.0,0.0,526.0,316.0,280.0,190.0,56.0,253.0,543.0,46.6,290.0,336.0,103.0,233.0,293.0,819.0,705.0,13.0,44.2,16036.0,2254.0,6157.0,6237.0,3768.0,720.0,16033.0,408.0,161.0,39.5,200.0,49.0,8110.0,41489.0,21323.0,352.0,251.0,113.0,411.0,198.0,9387.0,955.0,69.0,2.0,0.0,298.0,316.0,54.0,515.0,293.0,316.0,3.0,2.0,0.0,1422.0,472.0,469.0,50.2,28.0,27.4,29.0,2610.0,90.0,100.0,29.0,319.0,83.0,191.0,127.0,16.0,134.0,0.9,41.0,54.0,-13.0,-0.45,45.0,45.1,-0.1,0.0
4,2023-2024,Premier-League,Brighton,27.0,26.7,62.3,28.0,308.0,2520.0,28.0,46.0,35.0,81.0,41.0,5.0,5.0,70.0,3.0,45.5,41.8,33.3,75.2,637.0,1402.0,1.64,1.25,2.89,1.46,2.71,1.62,1.19,2.81,1.49,2.68,28.0,28.0,2520.0,44.0,1.57,115.0,73.0,66.1,11.0,9.0,8.0,4.0,14.3,5.0,5.0,0.0,0.0,0.0,44.0,5.0,0.0,6.0,2.0,37.7,0.29,-4.3,-0.15,72.0,187.0,38.5,971.0,134.0,17.8,27.2,186.0,7.5,13.3,293.0,16.0,5.5,46.0,1.64,19.8,46.0,414.0,160.0,38.6,14.79,5.71,0.1,0.26,16.5,10.0,5.0,5.0,45.5,41.8,0.1,0.5,-0.8,16906.0,19333.0,87.4,265781.0,87288.0,8845.0,9541.0,92.7,6497.0,7169.0,90.6,1029.0,1660.0,62.0,35.0,33.3,33.5,1.7,324.0,1168.0,295.0,59.0,1402.0,19333.0,18061.0,1209.0,376.0,48.0,59.0,485.0,419.0,156.0,65.0,53.0,2.0,16906.0,63.0,232.0,760.0,27.14,557.0,67.0,43.0,54.0,32.0,7.0,85.0,3.04,57.0,5.0,9.0,7.0,6.0,1.0,448.0,265.0,193.0,185.0,70.0,204.0,469.0,43.5,265.0,314.0,100.0,214.0,215.0,663.0,434.0,18.0,62.3,22336.0,2330.0,6951.0,10353.0,5174.0,836.0,22331.0,529.0,219.0,41.4,244.0,46.1,14767.0,71577.0,37735.0,637.0,422.0,210.0,423.0,269.0,16728.0,1393.0,70.0,3.0,0.0,302.0,340.0,63.0,485.0,215.0,265.0,5.0,5.0,2.0,1347.0,318.0,257.0,55.3,27.0,26.7,28.0,2520.0,90.0,100.0,28.0,308.0,79.0,172.0,133.0,25.0,119.0,1.5,50.0,44.0,6.0,0.21,45.5,38.7,6.8,0.24
5,2023-2024,Premier-League,Burnley,31.0,25.1,46.7,29.0,319.0,2610.0,29.0,28.0,21.0,49.0,26.0,2.0,2.0,60.0,5.0,28.3,26.7,21.1,47.8,513.0,868.0,0.97,0.72,1.69,0.9,1.62,0.98,0.73,1.7,0.92,1.65,29.0,29.0,2610.0,63.0,2.17,171.0,110.0,66.1,4.0,5.0,20.0,2.0,6.9,5.0,5.0,0.0,0.0,0.0,63.0,5.0,0.0,11.0,2.0,54.7,0.29,-6.3,-0.22,149.0,626.0,23.8,1361.0,165.0,34.5,44.1,203.0,76.8,53.2,432.0,31.0,7.2,44.0,1.52,12.3,28.0,307.0,95.0,30.9,10.59,3.28,0.08,0.27,17.8,8.0,2.0,2.0,28.3,26.7,0.09,-0.3,-0.7,10428.0,13536.0,77.0,183002.0,61414.0,4736.0,5471.0,86.6,4498.0,5270.0,85.4,960.0,2085.0,46.0,21.0,21.1,18.5,-0.1,232.0,677.0,155.0,32.0,868.0,13536.0,12161.0,1309.0,340.0,32.0,59.0,407.0,532.0,142.0,56.0,41.0,6.0,10428.0,66.0,263.0,543.0,18.72,387.0,58.0,39.0,31.0,23.0,5.0,55.0,1.9,42.0,3.0,7.0,1.0,2.0,0.0,466.0,266.0,210.0,188.0,68.0,218.0,445.0,49.0,227.0,368.0,125.0,243.0,205.0,671.0,645.0,13.0,46.7,16710.0,2187.0,6183.0,6894.0,3776.0,577.0,16708.0,536.0,240.0,44.8,242.0,45.1,9370.0,50081.0,25991.0,513.0,336.0,163.0,372.0,227.0,10314.0,854.0,60.0,5.0,2.0,328.0,276.0,66.0,407.0,205.0,266.0,2.0,5.0,2.0,1310.0,445.0,580.0,43.4,31.0,25.1,29.0,2610.0,90.0,100.0,29.0,319.0,82.0,192.0,128.0,18.0,133.0,0.59,29.0,63.0,-34.0,-1.17,28.3,50.4,-22.1,-0.76
6,2023-2024,Premier-League,Chelsea,30.0,25.1,58.2,27.0,297.0,2430.0,27.0,46.0,33.0,79.0,39.0,7.0,8.0,86.0,3.0,50.1,43.8,34.2,78.0,594.0,1148.0,1.7,1.22,2.93,1.44,2.67,1.85,1.27,3.12,1.62,2.89,27.0,27.0,2430.0,45.0,1.67,138.0,93.0,69.6,11.0,6.0,10.0,5.0,18.5,5.0,3.0,1.0,1.0,25.0,45.0,3.0,0.0,6.0,1.0,39.2,0.26,-4.8,-0.18,105.0,278.0,37.8,818.0,140.0,24.3,29.5,192.0,41.1,33.4,365.0,29.0,7.9,42.0,1.56,16.5,46.0,349.0,121.0,34.7,12.93,4.48,0.11,0.32,17.0,13.0,7.0,8.0,50.1,43.8,0.13,-4.1,-4.8,14071.0,16502.0,85.3,231694.0,77457.0,6991.0,7620.0,91.7,5721.0,6362.0,89.9,998.0,1680.0,59.4,33.0,34.2,30.3,-1.2,262.0,970.0,260.0,38.0,1148.0,16502.0,15216.0,1215.0,352.0,84.0,74.0,407.0,467.0,132.0,39.0,44.0,3.0,14071.0,71.0,275.0,633.0,23.44,475.0,38.0,47.0,27.0,29.0,17.0,84.0,3.11,59.0,4.0,8.0,4.0,7.0,2.0,501.0,287.0,248.0,179.0,74.0,243.0,457.0,53.2,214.0,325.0,115.0,210.0,215.0,716.0,547.0,15.0,58.2,19594.0,2113.0,6528.0,8525.0,4734.0,724.0,19586.0,607.0,266.0,43.8,267.0,44.0,11916.0,59725.0,31052.0,594.0,391.0,186.0,444.0,277.0,13975.0,1135.0,86.0,3.0,2.0,336.0,314.0,71.0,407.0,215.0,287.0,7.0,5.0,1.0,1341.0,315.0,268.0,54.0,30.0,25.1,27.0,2430.0,90.0,100.0,27.0,297.0,83.0,191.0,103.0,18.0,139.0,1.44,47.0,45.0,2.0,0.07,50.1,40.2,9.8,0.36
7,2023-2024,Premier-League,Crystal Palace,26.0,27.6,41.9,28.0,308.0,2520.0,28.0,33.0,24.0,57.0,29.0,4.0,4.0,54.0,1.0,33.1,29.9,25.6,55.5,364.0,828.0,1.18,0.86,2.04,1.04,1.89,1.18,0.92,2.1,1.07,1.98,28.0,28.0,2520.0,48.0,1.71,113.0,66.0,60.2,7.0,8.0,13.0,6.0,21.4,3.0,3.0,0.0,0.0,0.0,48.0,3.0,0.0,7.0,1.0,37.5,0.31,-9.5,-0.34,153.0,483.0,31.7,647.0,86.0,51.6,41.2,189.0,78.8,54.3,446.0,27.0,6.1,22.0,0.79,11.2,33.0,326.0,109.0,33.4,11.64,3.89,0.09,0.27,17.2,16.0,4.0,4.0,33.1,29.9,0.09,-0.1,-0.9,9255.0,12065.0,76.7,165308.0,62428.0,4193.0,4846.0,86.5,3944.0,4632.0,85.1,916.0,1954.0,46.9,24.0,25.6,21.9,-1.6,255.0,735.0,190.0,45.0,828.0,12065.0,10720.0,1300.0,366.0,41.0,73.0,463.0,533.0,136.0,68.0,42.0,6.0,9255.0,45.0,276.0,575.0,20.54,385.0,62.0,33.0,44.0,37.0,14.0,60.0,2.14,49.0,2.0,3.0,0.0,6.0,0.0,547.0,313.0,275.0,195.0,77.0,231.0,437.0,52.9,206.0,330.0,96.0,234.0,232.0,779.0,684.0,5.0,41.9,15410.0,1782.0,5408.0,6477.0,3679.0,571.0,15406.0,529.0,248.0,46.9,221.0,41.8,8005.0,40613.0,19962.0,364.0,271.0,119.0,441.0,321.0,9169.0,814.0,54.0,1.0,1.0,340.0,327.0,45.0,463.0,232.0,313.0,4.0,3.0,1.0,1373.0,417.0,427.0,49.4,26.0,27.6,28.0,2520.0,90.0,100.0,28.0,308.0,85.0,225.0,83.0,17.0,167.0,1.04,33.0,48.0,-15.0,-0.54,33.1,39.9,-6.9,-0.24
8,2023-2024,Premier-League,Everton,25.0,27.5,40.1,28.0,308.0,2520.0,28.0,29.0,14.0,43.0,29.0,0.0,1.0,59.0,1.0,42.3,41.6,30.5,72.0,380.0,849.0,1.04,0.5,1.54,1.04,1.54,1.51,1.09,2.6,1.48,2.57,28.0,28.0,2520.0,39.0,1.39,120.0,83.0,73.3,8.0,7.0,13.0,8.0,28.6,7.0,7.0,0.0,0.0,0.0,39.0,7.0,0.0,9.0,2.0,38.0,0.26,1.0,0.04,273.0,632.0,43.2,945.0,106.0,55.2,40.7,200.0,55.0,45.1,390.0,18.0,4.6,42.0,1.5,17.4,29.0,396.0,121.0,30.6,14.14,4.32,0.07,0.24,16.5,10.0,0.0,1.0,42.3,41.6,0.11,-13.3,-12.6,8327.0,11380.0,73.2,154109.0,65690.0,3756.0,4405.0,85.3,3262.0,4038.0,80.8,1097.0,2248.0,48.8,14.0,30.5,22.8,-16.5,266.0,694.0,220.0,67.0,849.0,11380.0,10069.0,1255.0,300.0,36.0,61.0,582.0,556.0,132.0,114.0,14.0,1.0,8327.0,56.0,248.0,664.0,23.71,461.0,63.0,22.0,65.0,29.0,24.0,41.0,1.46,21.0,4.0,0.0,11.0,2.0,3.0,543.0,323.0,270.0,193.0,80.0,252.0,522.0,48.3,270.0,350.0,122.0,228.0,282.0,825.0,613.0,8.0,40.1,14709.0,1811.0,4912.0,6033.0,3912.0,611.0,14708.0,407.0,183.0,45.0,197.0,48.4,7312.0,39254.0,19671.0,380.0,304.0,95.0,417.0,245.0,8252.0,841.0,59.0,1.0,1.0,340.0,254.0,56.0,582.0,282.0,323.0,0.0,7.0,2.0,1492.0,494.0,420.0,54.0,25.0,27.5,28.0,2520.0,90.0,100.0,28.0,308.0,85.0,220.0,87.0,18.0,162.0,1.11,29.0,39.0,-10.0,-0.36,42.3,39.8,2.6,0.09
9,2023-2024,Premier-League,Fulham,25.0,29.3,49.8,29.0,319.0,2610.0,29.0,42.0,30.0,72.0,40.0,2.0,2.0,69.0,3.0,39.2,37.6,28.5,66.1,489.0,1093.0,1.45,1.03,2.48,1.38,2.41,1.35,0.98,2.34,1.3,2.28,29.0,29.0,2610.0,44.0,1.52,145.0,105.0,73.8,11.0,5.0,13.0,8.0,27.6,6.0,6.0,0.0,0.0,0.0,44.0,6.0,0.0,2.0,4.0,42.4,0.26,2.4,0.08,114.0,351.0,32.5,966.0,119.0,26.9,29.2,218.0,41.7,34.7,354.0,13.0,3.7,30.0,1.03,14.2,42.0,372.0,130.0,34.9,12.83,4.48,0.11,0.31,17.1,11.0,2.0,2.0,39.2,37.6,0.1,2.8,2.4,12369.0,15343.0,80.6,220858.0,75024.0,5369.0,6042.0,88.9,5487.0,6297.0,87.1,1225.0,2183.0,56.1,30.0,28.5,25.2,1.5,280.0,832.0,265.0,69.0,1093.0,15343.0,13940.0,1355.0,361.0,53.0,94.0,526.0,548.0,155.0,48.0,68.0,1.0,12369.0,48.0,314.0,647.0,22.31,479.0,57.0,29.0,52.0,16.0,14.0,72.0,2.48,57.0,3.0,2.0,7.0,2.0,1.0,511.0,296.0,254.0,191.0,66.0,267.0,521.0,51.2,254.0,339.0,94.0,245.0,319.0,830.0,568.0,12.0,49.8,18487.0,2031.0,6426.0,8043.0,4204.0,623.0,18485.0,428.0,205.0,47.9,188.0,43.9,10702.0,56469.0,28413.0,489.0,380.0,104.0,400.0,250.0,12268.0,1083.0,69.0,3.0,2.0,289.0,284.0,48.0,526.0,319.0,296.0,2.0,6.0,4.0,1417.0,374.0,374.0,50.0,25.0,29.3,29.0,2610.0,90.0,100.0,29.0,319.0,82.0,188.0,128.0,18.0,132.0,1.31,43.0,44.0,-1.0,-0.03,39.2,49.7,-10.5,-0.36
