,season,league_name,squad,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_goals_against_right,gk_pens_allowed_right,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,goals_right,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made_right,pens_att_right,xg_right,npxg_right,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists_right,xg_assist_right,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes_right,passes_right,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed_right,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,possession_right,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries_right,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_right,cards_red_right,cards_yellow_red,fouls,fouled,offsides,crosses_right,interceptions_right,tackles_won_right,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,players_used_right,avg_age_right,games_right,minutes_right,minutes_per_game,minutes_pct,minutes_90s_right,games_starts_right,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90
0,2022-2023,Premier-League-Stats,Arsenal,26.0,24.7,59.3,38.0,418.0,3420.0,38.0,84.0,64.0,148.0,81.0,3.0,4.0,51.0,0.0,71.9,69.1,53.8,122.9,824.0,2049.0,2.21,1.68,3.89,2.13,3.82,1.89,1.41,3.31,1.82,3.23,38.0,38.0,3420.0,43.0,1.13,136.0,94.0,70.6,26.0,6.0,6.0,14.0,36.8,5.0,3.0,0.0,2.0,0.0,43.0,3.0,0.0,6.0,1.0,40.0,0.28,-2.0,-0.05,109.0,429.0,25.4,924.0,174.0,36.6,33.3,185.0,49.2,42.8,381.0,22.0,5.8,43.0,1.13,16.1,84.0,589.0,194.0,32.9,15.5,5.11,0.14,0.42,16.0,16.0,3.0,4.0,71.9,69.1,0.12,12.1,11.9,18281.0,21969.0,83.2,310206.0,100635.0,8542.0,9478.0,90.1,7825.0,8821.0,88.7,1454.0,2548.0,57.1,64.0,53.8,46.8,10.2,443.0,1637.0,459.0,62.0,2049.0,21969.0,20293.0,1620.0,516.0,86.0,97.0,674.0,615.0,223.0,154.0,8.0,3.0,18281.0,56.0,379.0,1045.0,27.5,776.0,78.0,57.0,73.0,43.0,18.0,150.0,3.95,121.0,6.0,5.0,13.0,3.0,2.0,568.0,343.0,238.0,212.0,118.0,249.0,509.0,48.9,260.0,362.0,86.0,276.0,237.0,805.0,599.0,23.0,59.3,25909.0,1994.0,6632.0,11452.0,8015.0,1296.0,25905.0,751.0,351.0,46.7,290.0,38.6,15924.0,84012.0,44202.0,824.0,583.0,281.0,526.0,378.0,18101.0,2024.0,51.0,0.0,0.0,373.0,435.0,56.0,674.0,237.0,343.0,3.0,5.0,1.0,1984.0,486.0,559.0,46.5,26.0,24.7,38.0,3420.0,90.0,100.0,38.0,418.0,85.0,270.0,150.0,15.0,192.0,2.21,88.0,43.0,45.0,1.18,71.9,42.0,29.9,0.79
1,2022-2023,Premier-League-Stats,Aston Villa,26.0,27.0,49.3,38.0,418.0,3420.0,38.0,49.0,35.0,84.0,46.0,3.0,4.0,80.0,1.0,50.2,47.2,38.8,86.0,637.0,1242.0,1.29,0.92,2.21,1.21,2.13,1.32,1.02,2.34,1.24,2.26,38.0,38.0,3420.0,46.0,1.21,151.0,108.0,72.8,18.0,7.0,13.0,12.0,31.6,6.0,5.0,1.0,0.0,16.7,46.0,5.0,1.0,9.0,4.0,42.8,0.25,0.8,0.02,214.0,585.0,36.6,1247.0,153.0,37.0,37.6,265.0,46.8,38.3,528.0,65.0,12.3,76.0,2.0,14.2,49.0,427.0,145.0,34.0,11.24,3.82,0.11,0.32,18.0,18.0,3.0,4.0,50.2,47.2,0.11,-1.2,-1.2,13782.0,17396.0,79.2,244084.0,87581.0,6109.0,6945.0,88.0,5981.0,6936.0,86.2,1345.0,2579.0,52.2,35.0,38.8,31.6,-3.8,318.0,964.0,268.0,80.0,1242.0,17396.0,15544.0,1794.0,599.0,54.0,101.0,561.0,684.0,162.0,97.0,19.0,4.0,13782.0,58.0,325.0,751.0,19.76,565.0,50.0,48.0,38.0,40.0,10.0,84.0,2.21,55.0,2.0,6.0,12.0,6.0,3.0,633.0,338.0,305.0,251.0,77.0,313.0,646.0,48.5,333.0,438.0,118.0,320.0,324.0,957.0,714.0,14.0,49.3,21501.0,2783.0,7912.0,9077.0,4706.0,746.0,21496.0,681.0,292.0,42.9,279.0,41.0,12294.0,65583.0,33156.0,637.0,434.0,174.0,565.0,371.0,13587.0,1227.0,80.0,1.0,0.0,417.0,498.0,58.0,561.0,324.0,338.0,4.0,6.0,4.0,1847.0,442.0,465.0,48.7,26.0,27.0,38.0,3420.0,90.0,100.0,38.0,418.0,83.0,274.0,144.0,20.0,193.0,1.61,51.0,46.0,5.0,0.13,50.2,52.5,-2.2,-0.06
2,2022-2023,Premier-League-Stats,Bournemouth,31.0,26.3,40.4,38.0,418.0,3420.0,38.0,37.0,24.0,61.0,37.0,0.0,0.0,68.0,0.0,38.6,38.6,28.5,67.1,504.0,1006.0,0.97,0.63,1.61,0.97,1.61,1.02,0.75,1.76,1.02,1.76,38.0,38.0,3420.0,71.0,1.87,204.0,136.0,68.1,11.0,6.0,21.0,8.0,21.1,7.0,6.0,0.0,1.0,0.0,71.0,6.0,0.0,16.0,3.0,63.6,0.29,-4.4,-0.11,231.0,591.0,39.1,847.0,190.0,44.0,31.9,353.0,61.8,44.1,739.0,40.0,5.4,30.0,0.79,10.5,37.0,358.0,126.0,35.2,9.42,3.32,0.1,0.29,15.5,14.0,0.0,0.0,38.6,38.6,0.11,-1.6,-1.6,11715.0,15381.0,76.2,206704.0,82672.0,5412.0,6278.0,86.2,4751.0,5644.0,84.2,1192.0,2491.0,47.9,24.0,28.5,26.3,-4.5,261.0,850.0,237.0,75.0,1006.0,15381.0,13607.0,1736.0,424.0,48.0,87.0,509.0,706.0,144.0,88.0,25.0,9.0,11715.0,38.0,342.0,616.0,16.21,445.0,45.0,52.0,43.0,24.0,7.0,64.0,1.68,44.0,5.0,4.0,8.0,2.0,1.0,618.0,371.0,316.0,249.0,53.0,256.0,606.0,42.2,350.0,499.0,170.0,329.0,353.0,971.0,1027.0,11.0,40.4,19950.0,2934.0,8004.0,7933.0,4256.0,699.0,19950.0,735.0,321.0,43.7,344.0,46.8,10336.0,55322.0,27419.0,504.0,388.0,144.0,589.0,367.0,11617.0,986.0,68.0,0.0,0.0,391.0,365.0,38.0,509.0,353.0,371.0,0.0,7.0,3.0,1942.0,521.0,539.0,49.2,31.0,26.3,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,279.0,141.0,19.0,201.0,1.03,37.0,71.0,-34.0,-0.89,38.6,63.9,-25.3,-0.67
3,2022-2023,Premier-League-Stats,Brentford,25.0,26.2,43.8,38.0,418.0,3420.0,38.0,56.0,36.0,92.0,49.0,7.0,8.0,57.0,1.0,56.8,50.6,38.7,89.2,392.0,1131.0,1.47,0.95,2.42,1.29,2.24,1.49,1.02,2.51,1.33,2.35,38.0,38.0,3420.0,46.0,1.21,197.0,154.0,77.7,15.0,14.0,9.0,12.0,31.6,2.0,2.0,0.0,0.0,0.0,46.0,2.0,0.0,9.0,3.0,48.0,0.24,5.0,0.13,347.0,882.0,39.3,1361.0,160.0,50.9,39.5,275.0,68.7,51.0,598.0,52.0,8.7,54.0,1.42,15.7,56.0,400.0,147.0,36.8,10.53,3.87,0.12,0.33,15.7,14.0,7.0,8.0,56.8,50.6,0.13,-0.8,-1.6,11317.0,15551.0,72.8,209961.0,87006.0,5142.0,6116.0,84.1,4475.0,5602.0,79.9,1438.0,2947.0,48.8,36.0,38.7,30.5,-2.7,284.0,922.0,279.0,87.0,1131.0,15551.0,13766.0,1713.0,453.0,53.0,107.0,661.0,738.0,163.0,83.0,34.0,12.0,11317.0,72.0,303.0,702.0,18.47,475.0,99.0,32.0,45.0,44.0,7.0,98.0,2.58,65.0,8.0,4.0,8.0,11.0,2.0,587.0,337.0,270.0,228.0,89.0,253.0,599.0,42.2,346.0,456.0,168.0,288.0,341.0,928.0,822.0,14.0,43.8,19750.0,2632.0,7290.0,7802.0,4835.0,827.0,19742.0,597.0,264.0,44.2,248.0,41.5,10408.0,49009.0,23987.0,392.0,299.0,102.0,520.0,335.0,11203.0,1121.0,57.0,1.0,1.0,354.0,399.0,72.0,661.0,341.0,337.0,7.0,2.0,3.0,1959.0,665.0,618.0,51.8,25.0,26.2,38.0,3420.0,90.0,100.0,38.0,418.0,82.0,247.0,171.0,19.0,171.0,1.55,58.0,46.0,12.0,0.32,56.8,49.9,6.8,0.18
4,2022-2023,Premier-League-Stats,Brighton,29.0,26.3,60.2,38.0,418.0,3420.0,38.0,68.0,46.0,114.0,62.0,6.0,6.0,58.0,0.0,73.3,68.9,52.2,121.2,809.0,1849.0,1.79,1.21,3.0,1.63,2.84,1.93,1.37,3.3,1.81,3.19,38.0,38.0,3420.0,53.0,1.39,131.0,82.0,64.1,18.0,8.0,12.0,12.0,31.6,8.0,6.0,2.0,0.0,25.0,53.0,6.0,0.0,6.0,6.0,42.7,0.27,-4.3,-0.11,94.0,279.0,33.7,1067.0,151.0,21.4,28.9,247.0,20.6,23.2,355.0,27.0,7.6,32.0,0.84,12.3,68.0,607.0,219.0,36.1,15.97,5.76,0.1,0.28,16.8,12.0,6.0,6.0,73.3,68.9,0.12,-5.3,-6.9,19210.0,22888.0,83.9,319736.0,106474.0,9346.0,10305.0,90.7,7892.0,8919.0,88.5,1463.0,2462.0,59.4,46.0,52.2,44.7,-6.2,480.0,1459.0,391.0,78.0,1849.0,22888.0,21109.0,1709.0,445.0,81.0,130.0,694.0,693.0,233.0,102.0,88.0,2.0,19210.0,70.0,383.0,1075.0,28.29,819.0,73.0,81.0,63.0,27.0,12.0,115.0,3.03,83.0,3.0,13.0,9.0,6.0,1.0,616.0,340.0,270.0,242.0,104.0,266.0,561.0,47.4,295.0,392.0,104.0,288.0,303.0,919.0,432.0,15.0,60.2,26728.0,2471.0,7844.0,12213.0,6873.0,1102.0,26722.0,726.0,345.0,47.5,279.0,38.4,16331.0,83718.0,43965.0,809.0,547.0,250.0,558.0,324.0,18991.0,1828.0,58.0,0.0,0.0,427.0,407.0,70.0,694.0,303.0,340.0,4.0,8.0,6.0,2013.0,444.0,387.0,53.4,29.0,26.3,38.0,3420.0,90.0,100.0,38.0,418.0,83.0,277.0,143.0,19.0,199.0,1.63,72.0,53.0,19.0,0.5,73.3,50.2,23.1,0.61
5,2022-2023,Premier-League-Stats,Chelsea,32.0,26.3,58.7,38.0,418.0,3420.0,38.0,37.0,27.0,64.0,34.0,3.0,3.0,81.0,3.0,49.5,47.2,38.6,85.8,829.0,1737.0,0.97,0.71,1.68,0.89,1.61,1.3,1.02,2.32,1.24,2.26,38.0,38.0,3420.0,47.0,1.24,159.0,115.0,71.1,11.0,11.0,16.0,10.0,26.3,1.0,1.0,0.0,0.0,0.0,47.0,1.0,1.0,8.0,3.0,47.0,0.3,3.0,0.08,95.0,290.0,32.8,1087.0,198.0,18.2,27.6,248.0,37.1,31.9,460.0,24.0,5.2,63.0,1.66,13.7,37.0,481.0,151.0,31.4,12.66,3.97,0.07,0.23,16.8,10.0,3.0,3.0,49.5,47.2,0.1,-12.5,-13.2,19147.0,22836.0,83.8,316440.0,104718.0,9510.0,10494.0,90.6,7700.0,8709.0,88.4,1461.0,2499.0,58.5,27.0,38.6,35.3,-11.6,376.0,1426.0,370.0,68.0,1737.0,22836.0,20995.0,1767.0,503.0,58.0,129.0,693.0,722.0,209.0,108.0,70.0,2.0,19147.0,74.0,371.0,859.0,22.61,667.0,66.0,42.0,42.0,31.0,11.0,68.0,1.79,57.0,3.0,2.0,2.0,4.0,0.0,740.0,445.0,363.0,267.0,110.0,333.0,656.0,50.8,323.0,466.0,108.0,358.0,341.0,1081.0,661.0,21.0,58.7,27166.0,2564.0,8461.0,12057.0,6850.0,958.0,27163.0,838.0,380.0,45.3,352.0,42.0,16538.0,83509.0,43596.0,829.0,622.0,216.0,568.0,381.0,19065.0,1729.0,81.0,3.0,2.0,397.0,462.0,74.0,693.0,341.0,445.0,3.0,1.0,3.0,2024.0,493.0,453.0,52.1,32.0,26.3,38.0,3420.0,90.0,100.0,38.0,418.0,81.0,243.0,173.0,22.0,169.0,1.16,38.0,47.0,-9.0,-0.24,49.5,52.5,-3.0,-0.08
6,2022-2023,Premier-League-Stats,Crystal Palace,26.0,26.7,46.3,38.0,418.0,3420.0,38.0,38.0,29.0,67.0,37.0,1.0,3.0,82.0,3.0,39.3,36.8,29.0,65.8,556.0,1243.0,1.0,0.76,1.76,0.97,1.74,1.03,0.76,1.8,0.97,1.73,38.0,38.0,3420.0,49.0,1.29,160.0,114.0,71.9,11.0,12.0,15.0,9.0,23.7,4.0,4.0,0.0,0.0,0.0,49.0,4.0,0.0,8.0,3.0,44.7,0.26,-1.3,-0.03,153.0,446.0,34.3,930.0,189.0,33.7,32.3,273.0,48.7,37.6,539.0,29.0,5.4,40.0,1.05,13.1,38.0,423.0,133.0,31.4,11.13,3.5,0.09,0.28,17.6,23.0,1.0,3.0,39.3,36.8,0.09,-1.3,0.2,13395.0,17308.0,77.4,238779.0,88389.0,6005.0,6901.0,87.0,5794.0,6772.0,85.6,1309.0,2751.0,47.6,29.0,29.0,23.8,0.0,316.0,1013.0,239.0,51.0,1243.0,17308.0,15416.0,1834.0,525.0,41.0,118.0,591.0,763.0,186.0,84.0,60.0,5.0,13395.0,58.0,350.0,746.0,19.63,497.0,67.0,56.0,49.0,59.0,18.0,67.0,1.76,43.0,6.0,6.0,6.0,4.0,2.0,690.0,421.0,354.0,246.0,90.0,281.0,532.0,52.8,251.0,463.0,119.0,344.0,359.0,1049.0,807.0,7.0,46.3,21713.0,2580.0,7668.0,9275.0,4991.0,766.0,21710.0,784.0,367.0,46.8,314.0,40.1,11687.0,60301.0,30015.0,556.0,393.0,206.0,643.0,457.0,13304.0,1238.0,82.0,3.0,2.0,446.0,479.0,58.0,591.0,359.0,421.0,2.0,4.0,3.0,2093.0,496.0,578.0,46.2,26.0,26.7,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,277.0,138.0,17.0,204.0,1.18,40.0,49.0,-9.0,-0.24,39.3,48.1,-8.8,-0.23
7,2022-2023,Premier-League-Stats,Everton,28.0,26.6,42.8,38.0,418.0,3420.0,38.0,32.0,24.0,56.0,29.0,3.0,3.0,81.0,2.0,45.2,42.8,32.4,75.1,500.0,1052.0,0.84,0.63,1.47,0.76,1.39,1.19,0.85,2.04,1.13,1.98,38.0,38.0,3420.0,57.0,1.5,185.0,127.0,71.9,8.0,12.0,18.0,9.0,23.7,6.0,5.0,1.0,0.0,16.7,57.0,5.0,2.0,4.0,0.0,60.4,0.3,3.4,0.09,274.0,814.0,33.7,1012.0,156.0,57.7,34.9,325.0,70.8,52.4,589.0,23.0,3.9,52.0,1.37,5.0,32.0,426.0,143.0,33.6,11.21,3.76,0.07,0.2,16.8,12.0,3.0,3.0,45.2,42.8,0.1,-13.2,-13.8,11790.0,15783.0,74.7,214056.0,82478.0,5336.0,6174.0,86.4,4771.0,5750.0,83.0,1366.0,2947.0,46.4,24.0,32.4,26.9,-8.4,308.0,964.0,224.0,67.0,1052.0,15783.0,13984.0,1735.0,434.0,39.0,93.0,704.0,707.0,174.0,138.0,28.0,0.0,11790.0,64.0,311.0,735.0,19.34,495.0,84.0,37.0,54.0,45.0,20.0,59.0,1.55,41.0,5.0,5.0,2.0,4.0,2.0,708.0,424.0,362.0,257.0,89.0,309.0,611.0,50.6,302.0,510.0,180.0,330.0,390.0,1098.0,874.0,17.0,42.8,20233.0,2527.0,7219.0,8417.0,4830.0,742.0,20229.0,669.0,305.0,45.6,296.0,44.2,10479.0,56737.0,27858.0,500.0,391.0,137.0,605.0,300.0,11708.0,1042.0,81.0,2.0,1.0,396.0,382.0,64.0,704.0,390.0,424.0,3.0,6.0,0.0,2049.0,582.0,613.0,48.7,28.0,26.6,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,300.0,116.0,20.0,225.0,0.95,34.0,57.0,-23.0,-0.61,45.2,65.7,-20.5,-0.54
8,2022-2023,Premier-League-Stats,Fulham,29.0,28.2,48.8,38.0,418.0,3420.0,38.0,52.0,33.0,85.0,47.0,5.0,9.0,80.0,1.0,46.2,39.1,28.5,67.7,662.0,1326.0,1.37,0.87,2.24,1.24,2.11,1.22,0.75,1.97,1.03,1.78,38.0,38.0,3420.0,53.0,1.39,196.0,144.0,76.5,15.0,7.0,16.0,9.0,23.7,8.0,7.0,1.0,0.0,12.5,53.0,7.0,1.0,8.0,2.0,60.1,0.28,9.1,0.24,140.0,438.0,32.0,1176.0,193.0,28.4,46.0,280.0,37.1,35.0,490.0,36.0,7.3,48.0,1.26,14.0,52.0,420.0,137.0,32.6,11.05,3.61,0.11,0.34,17.3,17.0,5.0,9.0,46.2,39.1,0.1,5.8,7.9,13974.0,18014.0,77.6,255629.0,89303.0,5867.0,6818.0,86.1,6222.0,7333.0,84.8,1551.0,2860.0,54.2,33.0,28.5,23.7,4.5,306.0,1044.0,284.0,97.0,1326.0,18014.0,16136.0,1818.0,471.0,20.0,157.0,769.0,795.0,182.0,70.0,69.0,2.0,13974.0,60.0,393.0,751.0,19.76,528.0,78.0,29.0,54.0,47.0,15.0,90.0,2.37,56.0,9.0,5.0,11.0,7.0,2.0,625.0,350.0,295.0,229.0,101.0,299.0,585.0,51.1,286.0,455.0,125.0,330.0,340.0,965.0,749.0,15.0,48.8,22162.0,2563.0,7462.0,9521.0,5416.0,758.0,22153.0,599.0,272.0,45.4,239.0,39.9,12250.0,68158.0,35319.0,662.0,472.0,124.0,535.0,379.0,13847.0,1316.0,80.0,1.0,0.0,411.0,405.0,60.0,769.0,340.0,350.0,8.0,8.0,2.0,1979.0,511.0,550.0,48.2,29.0,28.2,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,265.0,152.0,15.0,190.0,1.37,55.0,53.0,2.0,0.05,46.2,63.8,-17.6,-0.46
9,2022-2023,Premier-League-Stats,Leeds United,29.0,25.3,47.0,38.0,418.0,3420.0,38.0,45.0,31.0,76.0,44.0,1.0,3.0,89.0,3.0,47.4,45.0,31.9,76.9,555.0,1429.0,1.18,0.82,2.0,1.16,1.97,1.25,0.84,2.09,1.18,2.02,38.0,38.0,3420.0,78.0,2.05,185.0,108.0,60.5,7.0,10.0,21.0,5.0,13.2,6.0,5.0,0.0,1.0,0.0,78.0,5.0,1.0,7.0,1.0,64.1,0.32,-12.9,-0.34,124.0,520.0,23.8,883.0,214.0,40.8,41.1,275.0,58.2,44.1,475.0,36.0,7.6,69.0,1.82,11.6,45.0,459.0,141.0,30.7,12.08,3.71,0.1,0.31,16.6,19.0,1.0,3.0,47.4,45.0,0.1,-2.4,-1.0,12437.0,16924.0,73.5,206567.0,84295.0,6115.0,7225.0,84.6,4782.0,5973.0,80.1,1072.0,2528.0,42.4,31.0,31.9,27.3,-0.9,337.0,1086.0,270.0,70.0,1429.0,16924.0,14953.0,1911.0,484.0,41.0,87.0,653.0,837.0,199.0,93.0,68.0,4.0,12437.0,60.0,414.0,783.0,20.61,535.0,99.0,32.0,54.0,48.0,15.0,69.0,1.82,43.0,7.0,4.0,9.0,3.0,3.0,840.0,480.0,376.0,343.0,121.0,412.0,863.0,47.7,451.0,536.0,131.0,405.0,392.0,1232.0,734.0,18.0,47.0,21642.0,2125.0,6971.0,9290.0,5587.0,796.0,21639.0,688.0,268.0,39.0,328.0,47.7,11342.0,55021.0,27062.0,555.0,379.0,146.0,602.0,421.0,12329.0,1418.0,89.0,3.0,2.0,467.0,405.0,60.0,653.0,392.0,480.0,2.0,6.0,1.0,2206.0,586.0,607.0,49.1,29.0,25.3,38.0,3420.0,90.0,100.0,38.0,418.0,82.0,260.0,157.0,21.0,185.0,0.82,48.0,78.0,-30.0,-0.79,47.4,67.2,-19.8,-0.52
